epoch,mse,theta1,theta2,theta3,theta4
28,0.0009905387972886219,0.5330588063495779,1.6741293271735609,0.5830812537514437,1.69
29,0.0010538843535543472,0.5384544546418882,1.658665336948968,0.5808394627033524,1.6876719797321285
30,0.001080000482058307,0.5470460877619634,1.6388727021843306,0.5804862762072259,1.6825045914149355
31,0.0010684043433285561,0.5585302608555731,1.6153028706353183,0.5818582819757028,1.6747568811191476
32,0.0010229575266817571,0.5725830613073147,1.5885086510637232,0.5847792832853032,1.6647129856297318
33,0.0009492706672927698,0.5888672964798911,1.5590330339843255,0.5890637466344533,1.652674399877096
34,0.0008540542154044713,0.6070379218250058,1.5274036915366986,0.5945201039178497,1.638953193321232
35,0.0007445080901919321,0.6267461225702157,1.4941309748865506,0.6009538701410845,1.6238661543952404
36,0.0006277931191693237,0.6476426774085169,1.4598576083577108,0.6081705718302397,1.607729741291661
37,0.0005105724999401979,0.6693809198593599,1.4250339178882212,0.6159784907684867,1.5908556511746186
38,0.00039860287624483197,0.6916186163139542,1.3900953097273425,0.624191144151459,1.5735469244296618
39,0.0002965771157479971,0.7140205388678785,1.3554607098390414,0.6326296069002818,1.5560943819974764
40,0.00020795266596013994,0.7362613674787597,1.321530076612108,0.641124640177778,1.5387733222419215
41,0.0001349082557280165,0.7580290334884998,1.2886809274952815,0.6495186186428404,1.5218404330130744
42,7.83863893976069e-05,0.7790285219642751,1.2572639995430823,0.6576672418061257,1.5055309210980137
43,3.824040523855163e-05,0.7989821707573017,1.227603352173369,0.6654411473740746,1.490078410534135
44,1.3449590446389353e-05,0.8176470324254295,1.1999744243226969,0.6727281477009602,1.4756545997382595
45,1.7723262770513695e-06,0.8348097442246898,1.1746114739300635,0.6794328232720175,1.4624043327705307
46,8.625773117593471e-07,0.8502903806243917,1.1517036141744945,0.6854771033364148,1.4504443870016261
47,8.105970327458283e-06,0.8639456768878724,1.1313919374450807,0.690800539542218,1.4398627991857758
48,2.0829184241977716e-05,0.8756713730619701,1.1137679827753353,0.6953602670609721,1.4307187626879803
49,3.648429178260071e-05,0.8854034902992726,1.0988736663986658,0.6991306571074645,1.42304310208412
50,5.279887219995222e-05,0.8931184370430646,1.0867026549755416,0.702102674407463,1.4168393038287215
51,6.78861089695925e-05,0.8988319371279989,1.0772030395399819,0.7042829621111163,1.4120850567110446
52,8.031256537451817e-05,0.9025968603680975,1.0702810815467034,0.7056926841573095,1.4087342361136672
53,8.912461007224253e-05,0.9045001064285835,1.0658057576691125,0.7063661607018316,1.4067192532043626
54,9.383729744094785e-05,0.9046587374897984,1.0636138252996419,0.7063493357597139,1.4059536844476628
55,9.439171231722664e-05,0.9032155730420053,1.0635151574933865,0.7056981177722201,1.4063350974570328
56,9.108826428169425e-05,0.9003344547423113,1.0652981425320167,0.7044766336804594,1.4077479947167515
57,8.450414167646363e-05,0.8961953673851014,1.0687349973645215,0.7027554356705605,1.4100668052318137
58,7.540315770700621e-05,0.890989571410992,1.0735868959370505,0.7006096974767277,1.4131588638874293
59,6.46456388920723e-05,0.8849148698981986,1.0796088559968344,0.6981174343719904,1.4168873276998093
60,5.310494962389583e-05,0.8781711036143967,1.0865543577411716,0.6953577780351883,1.4211139861774786
61,4.159585908110752e-05,0.8709559441536068,1.0941796839081874,0.692409334537445,1.4257019291794788
62,3.08183814498391e-05,0.863461038081582,1.1022479749557124,0.6893486508117693,1.4305180399383248
63,2.1319091105144252e-05,0.8558685434926756,1.1105329876836412,0.6862488121337601,1.4354352836859585
64,1.347034953109605e-05,0.8483480927115364,1.1188225346646679,0.6831781902674506,1.4403347642059856
65,7.466479967898753e-06,0.8410542090760185,1.126921569037572,0.6801993589110671,1.4451075223632
66,3.3347676152202597e-06,0.8341242000613938,1.1346548682035438,0.6773681898149393,1.4496560529221074
67,9.58303293032509e-07,0.827676542227668,1.1418692636719643,0.6747331393765007,1.4538955192979606
68,1.0715791378392787e-07,0.821809765027692,1.1484353646167063,0.6723347316376413,1.4577546505946646
69,4.741797910842998e-07,0.8166018304764897,1.1542487302852495,0.6702052394699206,1.4611763114177052
70,1.7118275821313693e-06,0.8121099946239225,1.1592304606653705,0.6683685614405892,1.4641177422974039
71,3.4668465541319073e-06,0.8083711255608044,1.1633271941193828,0.6668402875554625,1.4665504767051722
